"ID","FullSource"
"Daskalakou1996","Daskalakou, E. N., Thanos, C. A. (1996). Aleppo pine (Pinus halepensis) postfire regeneration: the role of canopy and soil seed banks. International Journal of Wildland Fire 6: 59-66."
"Daskalakou2004","Daskalakou, E. N., Thanos, C. A. (2004). Postfire regeneration of Aleppo pine - the temporal pattern of seedling recruitment. Plant Ecology 171: 81-89."
"Daskalakou2018","Daskalakou, E. N., Koutsovoulou, K., Mavroeidi, L., Tsiamitas, C., Kafali, E., Radaiou, P. E., Ganatsas, P., & Thanos, C. A. (2018). Interannual variability of germination and cone/seed morphometric characteristics in the endemic Grecian fir (Abies cephalonica) over an 8-year-long study. Seed Science Research 28: 24-33."
"Davis1965","Davis, P. H. (editor) (1965-1985). Flora of Turkey and the east Aegean islands (Vol. 1-9). Edinburgh University Press."
"Debain2007","Debain, S., Chadœuf, J., Curt, T., Kunstler, G., Lepart, J. (2007). Comparing effective dispersal in expanding population of Pinus sylvestris and Pinus nigra in calcareous grassland. Canadian Journal of Forest Research 37: 705-718."
"Debussche1980","Debussche, M., Escarre, J., Lepart, J. (1980). Changes in mediterranean shrub communities with Cytisus purgans and Genista scorpius. Vegetatio 43: 73-82."
"Delgado2001","Delgado, J. A., Serrano, J. M., López, F.,  Acosta, F. J. (2001). Heat shock, mass-dependent germination, and seed yield as related components of fitness in Cistus ladanifer. Environmental and Experimental Botany 46: 11-20."
"Delitti2005","Delitti, W., Ferran, A., Trabaud, L., Vallejo, V. R. (2005). Effects of fire recurrence in Quercus coccifera L. shrublands of the Valencia Region (Spain): I. plant composition and productivity. Plant Ecology 177: 57-70."
"DeLuis2001","De Luís, M., García-Cano, M. P., Cortina, J., Raventós, J., González-Hidalgo, J. C. Sánchez, J. R. (2001). Climatic trends, disturbances and short-term vegetation dynamics in a Mediterranean shrubland. Forest Ecology and Management 147: 25-37."
"DeLuis2004a","De Luís, M., Raventós, J., Cortina, J., González-Hidalgo, J. C., Sánchez, J. R. (2004). Fire and torrential rainfall: effects on the perennial grass Brachypodium retusum. Plant Ecology 173: 225-232."
"DeLuis2004b","De Luís, M., Baeza, M. J., Raventós, J., González-Hidalgo, J. C. (2004). Fuel characteristics and fire behaviour in mature Mediterranean gorse shrublands. International Journal of Wildland Fire 13: 79-87."
"DeLuis2005","De Luís, M., Raventós, J., González-Hidalgo, J. C. (2005). Factors controlling seedling germination after fire in Mediterranean gorse shrublands. Implications for fire prescription. Journal of Environmental Management 76: 159-166."
"DeLuis2008","De Luis, M. Verdu, M., Raventos, J. (2008). Early to rise makes a plant healthy, wealthy, and wise. Ecology 89: 3061–3071."
"DelVecchio2012","Del Vecchio, S., Mattana, E., Acosta, A. T., Bacchetta, G. (2012). Seed germination responses to varying environmental conditions and provenances in Crucianella maritima L., a threatened coastal species. Comptes Rendus Biologies 335: 26-31."
"DeVicente2005","De Vicente López, J., Domínguez Núñez, J. A., Rodríguez Barreal, J. A. (2005). Micorrizas en repoblaciones efectuadas en zonas degradadas por incendios forestales en la Comunidad Valenciana. Proccedings of the IV Congreso Forestal Español. La ciencia forestal: Respuestas para la sostenibilidad. Interrogante Gráfica, Zaragoza, Spain."
"DeVitis2014","De Vitis, M., Seal, C. E., Ulian, T., Pritchard, H. W., Magrini, S., Fabrini, G., Mattana, E. (2014). Rapid adaptation of seed germination requirements of the threatened Mediterranean species Malcolmia littorea (Brassicaceae) and implications for its reintroduction. South African Journal of Botany 94: 46–50."
"Diadema2007","Diadema, K., Médail, F., Bretagnolle, F. (2007). Fire as a control agent of demographic structure and plant performance of a rare Mediterranean endemic geophyte. Comptes Rendus Biologies 330: 691–700."
"DiazGarcia2018","Díaz Garcia, R. 2018. Sinergias con otros proyectos de conservación de flora en el Parque Regional de Calblanque, Monte de las Cenizas y Peña del Águila. In: Vicente, MJ & Martiniez-Sanchez 2018 (eds). La jara de Cartagena (Cistus heterophyllus), una especie en peligro. Universidad Politécnica de Cartagena, Cartagena, Spain."
"DiazVilla2003","Díaz-Villa, M. D., Marañón, T., Arroyo, J., Garrido, B. (2003). Soil seed bank and floristic diversity in a forest-grassland mosaic in southern Spain. Journal of Vegetation Science 14: 701-709."
"DiazVizcaino2005","Díaz Vizcaino, E. A., Iglesia Rodriguez, A. (2005). Efecto del fuego (temperatura y humo) sobre la germianción de ericáceas características de brezales del NW de la Península Ibérica. Page 193 in Sociedad Española de Ciencias Forestales, editor. Proccedings of the IV Congreso Forestal Español. La ciencia forestal: Respuestas para la sostenibilidad. Interrogante Gráfica, Zaragoza, Spain."
"DiazVizcaino2006","Díaz Vizcaíno, E. A., Iglesia Rodríguez, A., Fernández, M. (2006). Interannual variability in fire-induced germination responses of the characteristic Ericaceae of the NW Iberian Peninsula. CD-rom in D. X. Viegas, editor. 5th International Conference on Forest Fire Research. Elsevier B.V., Amsterdam, The Netherlands, Figueira da Foz, Portugal."
"DiezGarretas2017","Diez-Garretas, B., Pereña, J., Asensi, A. (2017). Morphological analysis, chorology and ecology of Juniperus navicularis Gand. in the Iberian Peninsula. Plant Biosystems 151: 168-173."
"Dogan2002","Doðan, Y., Baþlar, S. Mert, H. H. (2002). A study on Reseda lutea L. distributed naturally in West Anatolia in Turkey. Acta Botanica Croatica 61: 35–43."
"Dominguez2012","Domínguez, M., Aponte, C., Pérez-Ramos, I., García, L., Villar, R., Marañón, T. (2012). Relationships between leaf morphological traits, nutrient concentrations and isotopic signatures for Mediterranean woody plant species and communities. Plant and Soil 357: 407–424."
"Doussi1994","Doussi, M. A., Thanos, C. A. (1994). Post-fire regeneration of hardseeded plants: ecophysiology of seed germination. Pages 1035-1044 in D. X. Viegas, editor. 2nd International Conference on Forest Fire Research, Coimbra, Portugal."
"Doussi1997","Doussi, M. A., Thanos, C.A. (1997). Ecophysiology of seed germination in composites inhabiting fire-prone Mediterranean ecosystems. Pages 641-649 in Ellis, R. H., Black, M., Murdoch, A. J., Hong, T.D. (editors), Basic and Applied Aspects of Seed Biology. Kluwer Academic Publishers, Dordrecht."
"Doussi2002","Doussi, M. A., Thanos, C. A. (2002). Ecophysiology of seed germination in Mediterranean geophytes. 1. Muscari spp. Seed Science Research 12: 193-201."
"Engelbrecht2014","Engelbrecht, M., Bochet, E., García-Fayos, P. (2014). Mucilage secretion: an adaptive mechanism to reduce seed removal by soil erosion? Biological Journal of the Linnean Society 111: 241–251."
"Ergan2017","Ergan, G. (2017). Akdeniz Bitkilerinin Yangýnla Olan Ýliþkisinin Ýncelenmesi ve Yangýn Efemerallerinin Tespiti [The Relationship of Mediterranean Plants With Fire and The Determination of Fire Ephemerals]. M.Sc. Thesis, Hacettepe University, Ankara, Turkey (in Turkish with English abstract)."
"Escudero1997a","Escudero, A., Barrero, S., Pita, J. M. (1997). Effects of high temperatures and ash on seed germination of two Iberian pines (Pinus nigra ssp. salzmannii, P. sylvestris var. iberica). Annales des Sciences Forestieres 54: 553-561."
"Escudero1997b","Escudero, A., Carnes, L. F., Pérez-García, F. (1997). Seed germination of gypsophytes and gypsovags in semi-arid central Spain. Journal of Arid Environments 36: 487-497."
"Escudero1999","Escudero, A., Sanz, M. V., Pita, J. M., Pérez-García, F. (1999). Probability of germination after heat treatment of native Spanish pines. Annals of Forest Science 56: 511-520."
"Escudero2000","Escudero, A., Núñez, Y., Pérez-García, F. (2000). Is fire a selective force of seed size in pine species? Acta Oecologica 21: 245-256."
"Eshel2000","Eshel, A., Henig-Sever, N., Ne'eman, G. (2000). Spatial variation of seedling distribution in an east Mediterranean pine woodland at the beginning of post-fire succession. Plant Ecology 148: 175-182."
"Espadan2008","Madrigal, J., Hernando, C., Guijarro, M. (incendio@inia.es)"
"Espelta2005","Espelta, J. M., Cortés, P., Mangiron, M., Retana, J. (2005). Differences in biomass partitioning, leaf nitrogen content, and water use efficiency (delta C-13) result in similar performance of seedlings of two Mediterranean oaks with contrasting leaf habit. Écoscience 12: 447-454."
"Euboia2008","Kazanis, D., Arianoutsou, M., Andriopoulos, P. (dkazanis@biol.uoa.gr)."
"FdezAles1993","Fernández Alés, R., Laffarga, J. M., Ortega, F. (1993). Strategies in Mediterranean grassland annuals in relation to stress and disturbance. Journal of Vegetation Science 4: 313-322."
"FdezSantos1986","Fernández-Santos, B., Gómez-Gutiérrez, J. M., Moreiro-Clemente, M. S. (1986). Intensa variabilidad interpoblacional en el piornal serrano (formaciones de Cytisus balansae (Boiss.) Ball). Anales de Edafología y Agrobiología XLV:531-546."
"FdezSantos1991","Fernández-Santos, B. (1991). Estudio autoecológico de Cytisus Balansae (Boiss.) Ball y Cytisus multiflorus (L´Hér.) Sweet. Regeneración. Degree thesis. Universidad de Salamanca, Salamanca, Spain."
"FdezSantos1994a","Fernández-Santos, B., Gómez-Gutiérrez, J. M. (1994). Changes in Cytisus balansae populations after fire. Journal of Vegetation Science 5: 463-472."
"FdezSantos1994c","Fernández-Santos, B., Gómez-Gutiérrez, J. M., Pérez-Fernández, M. A. (1994). Biomass production by a material leguminous shrub, Cytisus multiflorus, following various treatments: cutting back, pulling out, burning and abandonement of field as compared to grazing, in NW Spain. Pages 674-680 in D. O. Hall, G. Grassi, and H. Scheer, editors. Biomass for energy and environment, agriculture and industry. Ponte Press, London, UK."
"FdezSantos1998","Fernández-Santos, B., Gómez-Gutiérrez, J. M., Martínez-Ruíz, C., Sánchez, C. (1998). Utilización del matorral como fuente de energía renovable en zonas representativas de Castilla y León. Biomasa entrante y potencial productivo (regeneración). Consejería de Cultura y Turismo - Junta de Castilla y León, Valladolid, Spain."
"FdezSantos1999","Fernández-Santos, B., Gómez-Gutiérrez, J. M., Moreno-Marcos, G. (1999). Effects of disturbance caused by traditional Spanish rural land use on the regeneration of Cytisus multiflorus. Applied Vegetation Science 2: 239-250."
"FdezSantos2004","Fernández-Santos, B., Martínez, C., García, J. A., Puerto, A. (2004). Postfire regeneration in Cytisus oromediterraneus: sources of variation and morphology of the below-ground parts. Acta Oecologica 26: 149-156."
"Fernandes1993","Fernandes, P., Pereira, J. (1993). Caracterização de combustíveis na serra da Arrábida. Silva Lusitana 1: 237-260."
"Fernandes1997","Fernandes, P. (1997). Caracterização do combustível e do comportamento do fogo em comunidades arbustivas do Norte de Portugal. MSc thesis. Universidade de Trás-os-Montes e Alto Douro, Vila Real, Portugal."
"Fernandes2007","Fernandes, P., Rigolot, E. (2007). The fire ecology and management of maritime pine (Pinus pinaster Ait.). Forest Ecology and Management 241: 1-13."
"Fernandez2013b","Fernández, C., Vega, J. A., Fonturbel, T. (2013). Shrub resprouting response after fuel reduction treatments: Comparison of prescribed burning, Clearing and mastication. Journal of Environmental Management 117: 235–241."
"Fernandez2018","Fernández, C., Vega, J. A., & Fontúrbel, T. (2018). Vegetative growth response of Cytisus oromediterraneus to fuel reduction treatments. Plant Ecology, 219(3), 251-259."
"Ferran1998","Ferran, A., Vallejo, R. (1998). Long-term plant regeneration after wildfires in Mediterranean ecosystems of NE Spain. Pages 155-166 in L. Trabaud, editor. Fire management and landscape ecology. International Association of Wildland Fire, Fairfield, Washington, USA."
"Ferran2005","Ferran, A., Delitti, W., Vallejo, V. R. (2005). Effects of fire recurrence in Quercus coccifera L. shrublands of the Valencia Region (Spain): II. plant and soil nutrients. Plant Ecology 177: 71-83."
"Ferrandis1996a","Ferrandis, P., Herranz, J. M., Martínez-Sánchez, J. J. (1996). The role of soil seed bank in the early stages of plant recovery after fire in a Pinus pinaster forest in SE Spain. International Journal of Wildland Fire 6: 31-35."
"Ferrandis1999a","Ferrandis, P., Herranz, J. M., Martínez-Sánchez, J. J. (1999). Effect of fire on hard-coated Cistaceae seed banks and its influence on techniques for quantifying seed banks. Plant Ecology 144: 103-114."
"Ferrandis1999b","Ferrandis, P., Martínez-Sánchez, J. J., Agudo, A.,  Cano, A. L., Gallar, J. J., Herranz, J. M. (1999). Presencia de especies del género Cistus L. (Cistaceae) en el banco de semillas del suelo en el pastizal de la Raña del Parque Nacional de Cabañeros. Investigación Agraria: Sistemas y Recursos Forestales 8: 361-376."
"Ferrandis1999c","Ferrandis, P., Herranz, J. M., Martínez-Sánchez, J. J. (1999). Fire impact on a maquis soil seed bank in Cabañeros National Park (central Spain). Israel Journal of Plant Sciences 47: 17-26."
"FloraIsrael2008","Flora of Israel Online (http://flora.huji.ac.il/)"
"Fort2013","Fort, F., Jouany, C., & Cruz, P. (2012). Root and leaf functional trait relations in Poaceae species: implications of differing resource-acquisition strategies. Journal of Plant Ecology, 6(3), 211-219."
"Fort2015","Fort, F., Cruz, P., Catrice, O., Delbrut, A., Luzarreta, M., Stroia, C., & Jouany, C. (2015). Root functional trait syndromes and plasticity drive the ability of grassland Fabaceae to tolerate water and phosphorus shortage. Environmental and Experimental Botany, 110, 62-72."
"Fort2017","Fort, F., Volaire, F., Guilioni, L., Barkaoui, K., Navas, M. L., & Roumet, C. (2017). Root traits are related to plant water-use among rangeland Mediterranean species. Functional Ecology 31: 1700-1709."
"Fouseki1979","Fouseki, E. (1979). Decomposition and soil metabolism in a phryganic ecosystem. PhD thesis (in Greek with an English summary). University of Thessaloniki, Greece."
"Franco1971","Franco, J. A. (1971, 1984). Nova flora de Portugal (continente e Açores). Sociedade Astória, Lda., Lisboa, Portugal."
"FRUBASE2008","FRUBASE: A dataset of fleshy fruit traits. FRUBASE_2008 version. Retrieved from http://pedroj.github.io/FRUBASE/contents.html"
"Galie2015","Galié, M., Gasparri, R., Perta, R. M., Biondi, E., Biscotti, N., Pesaresi, S., Casavecchia, S. (2015). Post-fire regeneration of Calicotome villosa (Poiret) Link. and vegetation analysis. Plant Sociology 52: 101-120."
"Gallego2004","Gallego-Fernández, J. B., García-Mora, M. R., García-Novo, F. (2004). Vegetation dynamics of Mediterranean shrublands in former cultural landscape at Grazalema Mountains, South Spain. Plant Ecology 172: 83-94."
"Gallegos2003","Gallegos-Pérula, V., Navarro-Cerrillo, R. M., Fernández-Rebollo, P.,  Del Valle-Murillo, G. (2003). Postfire regeneration in Pinus pinea L. and Pinus pinaster Aiton in Andalucia (Spain). Environmental Management 31: 86-99."
"Ganatsas2008","Ganatsas, P., Tsakaldimi, M., Thanos, C. (2008). Seed and cone diversity and seed germination of Pinus pinea in Strofylia Site of the Natura 2000 Network. Biodiversity and Conservation 17: 2427–2439."
"Ganatsas2012","Ganatsas, P., Daskalakou, E., Paitaridou, D. (2012). First results on early post-fire succession in an Abies cephalonica forest (Parnitha National Park, Greece). iForest - Biogeosciences and Forestry 5: 6–12."
"Garnier1997","Garnier, E., Cordonnier, P., Guillerm, J. L., Sonié, L. (1997). Specific leaf area and leaf nitrogen concentration in annual and perennial grass species growing in Mediterranean old-fields. Oecologia 111: 490-498."
"Gasque2003","Gasque, M., García-Fayos, P. (2003). Seed dormancy and longevity in Stipa tenacissima L. (Poaceae). Plant Ecology 168: 279-290."
"Gata2008","Madrigal, J., Hernando, C., Guijarro, M. (incendio@inia.es)"
"Gazol2017","Gazol, A., Sangüesa-Barreda, G., Granda, E., Camarero, J. J. (2017). Tracking the impact of drought on functionally different woody plants in a Mediterranean scrubland ecosystem. Plant Ecology 218: 1009-1020."
"GciaFayos1997","García-Fayos, P., Cerdà, A. (1997). Seed losses by surface wash in degraded Mediterranean environments. Catena 29: 73-83."
"GciaFayos1998","García-Fayos, P., Verdú, M. (1998). Soil seed bank, factors controlling germination and establishment of a Mediterranean shrub: Pistacia lentiscus L. Acta Oecologica 19: 357-366."
"GciaFayos2001","García-Fayos, P. C. (2001). Bases ecológicas para la recolección, almacenamiento y germinación de semillas de especies de uso forestal de la Comunidad Valenciana. Banc de Llavors Forestals (Conselleria de Medi Ambient, Generalitat Valenciana), Valencia, Spain."
"GciaRollan1983","García Rollán, M. (1983). Claves de la flora de España (Península y Baleares). Mundi-Prensa, Madrid, Spain."
"Gibraltar2008","Ojeda, F. (fernando.ojeda@uca.es)"
"Gil2009","Gil, L., López, R., García-Mateos, Á., González-Doncel, I. (2009). Seed provenance and fire-related reproductive traits of Pinus pinaster in central Spain. International Journal of Wildland Fire 18: 1003–1009."
"GimenezBenavides2005","Giménez-Benavides, L., Escudero, A., Pérez-García, F. (2005). Seed germination of high mountain Mediterranean species: altitudinal, interpopulation and interannual variability. Ecological Research 20: 433–444."
"GlezBartolome1987","González-Bartolomé, R., Fernández-Santos, B., Moreiro-Clemente, M. S., Gómez-Gutiérrez, J. M. (1987). El piornal serrano en la Sierra de Béjar. Introducción a su estudio autoecológico y biométrico. Salamanca. Revista Provincial de Estudios 22-23:C12-C14."
"GlezRabanal1994","González-Rabanal, F., Casal, M., Trabaud, L. (1994). Effects of high temperatures, ash and seed position in the inflorescence on the germination of three Spanish grasses. Journal of Vegetation Science 5: 289-294."
"GlezRabanal1995","González-Rabanal, F., Casal, M. (1995). Effect of high temperatures and ash on germination of ten species from gorse shrubland. Vegetatio 116: 123-131."
"GomezGonzalez2018","Gómez-González, S., Paniw, M., Antunes, K., & Ojeda, F. (2018). Heat shock and plant leachates regulate seed germination of the endangered carnivorous plant Drosophyllum lusitanicum. Web Ecology, 18(1), 7."
"GomezGrez1988","Gómez-Gutiérrez, J. M., González-Bartolomé, R., Fernández-Santos, B., Galindo-Villardon, P. (1988). Regeneración post-fuego del piornal serrano. Formaciones de Cytisus balansae (Boiss.) Ball. Anuario. Centro de Edafología y Biología Aplicada XIII: 261-277."
"GomezGrez1989","Gómez-Gutiérrez, J. M. (1989). Análisis estructural y valoración energética del matorral en la región castellano-leonesa. Pages 35-92 in J. L. Fernández Cavada, editor. Agroenergética. Ministerio de Agricultura, Pesca y Alimentación, Madrid, Spain."
"GonzalezVaro2010","González-Varo, J. P. (2010). Fragmentation, habitat composition and the dispersal/predation balance in interactions between the Mediterranean myrtle and avian frugivores. Ecography 33: 185–197."
"Goorman2011","Goorman, R., Bartual, A., Paula, S., Ojeda, F. (2011). Enhancement of photosynthesis in post-disturbance resprouts of two co-occurring Mediterranean Erica species. Plant Ecology 212: 2023–2033."
"Gotzenberger2003","Götzenberger, L., Ohl, C., Hensen, I., Sánchez Gómez, P., Wesche, K. (2003). Postfire regeneration of a thermomediterranean shrubland area in south-eastern Spain. Anales de Biología 25: 21-28."
"Goubitz2004","Goubitz, S., Nathan, R., Roitemberg, R., Shmida, A., Ne’eman, G. (2004). Canopy seed bank structure in relation to: fire, tree size and density. Plant Ecology 173: 191-201."
"Govaerts1998","Govaerts, R., Frodin, D. G. (1998). World cheklist and Bibliograophy of Fagales. On-line searchable version available through the Global Plant Checklist of the International Organization for Plant Information (IOPI 1996-2007). (http://bgbm3.bgbm.fu-berlin.de/iopi/gpc/)"
"Gratani1991","Gratani, L., Amadori, M. (1991). Postfire resprouting of shrubby species in Mediterranean maquis. Vegetatio 96: 137-143."
"Gratani1998","Gratani, L., Foti, I. (1998). Estimating forest structure and shade tolerance of the species in a mixed deciduous broad-leaved forest in Abruzzo, Italy. Annales Botanici Fennici 35: 75-83."
"Gratani2000","Gratani, L., Bombelli, A. (2000). Correlation between leaf age and other leaf traits in three Mediterranean maquis shrub species: Quercus ilex, Phillyrea latifolia and Cistus incanus. Environmental and Experimental Botany 43: 141–153."
"Gratani2001","Gratani, L., Bombelli, A. (2001). Differences in leaf traits among Mediterranean broad-leaved evergreen shrubs. Annales Botanici Fennici 38: 15-24."
"Gratani2006a","Gratani, L., Covone, F., & Larcher, W. (2006). Leaf plasticity in response to light of three evergreen species of the Mediterranean maquis. Trees, 20(5), 549-558."
"Gratani2006b","Gratani, L., & Varone, L. (2006). Long-time variations in leaf mass and area of Mediterranean evergreen broad-leaf and narrow-leaf maquis species. Photosynthetica, 44(2), 161-168."
"Gredos2008","Madrigal, J., Hernando, C., Guijarro, M. (incendio@inia.es)"
"Greuter1984","Greuter, W., Burdet, H. M., Long, G. (editors) (1984-1989). Med-Cheklist. A critical inventory of vascular plants of the circum-mediterranean countries. Conservatoire et Jardin Botanique de la Ville de Genève/Botanischer Garten & Botanisches Museum Berlin-Dahlem, Genève/Berlin."
"Grivet2013","Grivet, D., Climent, J., Zabal-Aguirre, M., Neale, D. B., Vendramin, G. G., González-Martínez, S. C. (2013). Adaptive evolution of Mediterranean pines. Molecular Phylogenetics and Evolution 68: 555–66."
"Gross2013","Gross, N., Börger, L., Soriano-Morales, S. I., Bagousse-Pinguet, L., Quero, J. L., García-Gómez, M., Valencia-Gómez, E., Maestre, F. T. (2013). Uncovering multiscale effects of aridity and biotic interactions on the functional structure of Mediterranean shrublands. Journal of Ecology 101: 637-649."
"Grunzweig2012","Grünzweig, J. M., Dumbur, R. (2012). Seed traits, seed-reserve utilization and offspring performance across pre-industrial to future CO2 concentrations in a Mediterranean community. Oikos 121: 579–588."
"Guadarrama2008","Madrigal, J., Hernando, C., Guijarro, M. (incendio@inia.es)"
"GuerreroCampo1998","Guerrero-Campo, J. (1998). Respuestas de la vegetación y de la morfología de las plantas a la erosión del suelo. Consejo de la Protección de la Naturaleza de Aragón, Zaragoza, Spain."
"GuerreroCampo2006","Guerrero-Campo, J., Palacio, S., Pérez-Rontomé, C., Montserrat-Martí, G. (2006). Effect of root system morphology on root-sprouting and shoot-rooting abilities in 123 plant species from eroded lands in north-east Spain. Annals of Botany 98: 439-447."
"Gulias2012","Gulías, J., Traveset, A. (2012). Altitudinal variation in the reproductive performance of the Mediterranean shrub Rhamnus lycioides L. Journal of Plant Ecology 5: 330-336"
"Guzman2009","Guzmán, B., Lledó, M. D., Vargas, P. (2009). Adaptive Radiation in Mediterranean Cistus (Cistaceae). PLoS ONE 4: e6362."
"Habrouk1999","Habrouk, A., Retana, J., Espelta, J. M. (1999). Role of heat tolerance and cone protection of seeds in the response of three pine species to wildfires. Plant Ecology 145: 91-99."
"Hanley1997","Hanley, M. E., Fenner, M. (1997). Seedling growth of four fire-following Mediterranean plant species deprived of single mineral nutrients. Functional Ecology 11: 398-405."
"Hanley2001","Hanley, M. E., Fenner, M., Ne'eman, G. (2001). Pregermination heat shock and seedling growth of fire-following Fabaceae from four Mediterranean-climate regions. Acta Oecologica 22: 315-320."
"Hayta2011","Hayta, E., Arabaci, O. (2011). Kekik olarak adlandýrýlan bazý bitki cinslerinin tohumlarýnda farklý çimlendirme yöntemlerinin belirlenmesi. ADÜ Ziraat Fakültesi Dergisi 8: 91–101. (in Turkish with English abstract)"
"He2012","He, T., Pausas, J. G., Belcher, C. M., Schwilk, D. W., Lamont, B. B. (2012). Fire-adapted traits of Pinus arose in the fiery Cretaceous. New Phytologist 194: 751–759."
"Hegazy1998","Hegazy, A. K., El Amry, M. I. (1998). Leaf temperature of desert sand dune plants: perspectives on the adaptability of leaf morphology. African Journal of Ecology 36: 34-43."
"Henkin1999","Henkin, Z., Seligman, N. G., Noy-Meir, I.,  Kafkafi, U. (1999). Secondary succession after fire in a Mediterranean dwarf-shrub community. Journal of Vegetation Science 10: 503-514."
"Hernandez2011","Hernández, E., Pausas, J., Vilagrosa, A. (2011). Leaf physiological traits in relation to resprouter ability in the Mediterranean Basin. Plant Ecology 212: 1959–1966."
"HernandezSerrano2013","Hernández-Serrano, A., Verdú, M., González-Martínez, S. C., Pausas, J. G. (2013). Fire structures pine serotiny at different scales. American Journal of Botany 100: 2349–2356."
"Herranz1996","Herranz, J. M., Martínez-Sánchez, J. J., De las Heras, J., Ferrandis, P. (1996). Stages of plant succession in Fagus sylvatica L. and Pinus sylvestris L. forests of Tejera Negra Natural Park (Central Spain), three years after fire. Israel Journal of Plant Sciences 44: 347-358."
"Herranz1997","Herranz, J. M., MartínezSánchez, J. J., Marín, A., Ferrandis, P. (1997). Postfire regeneration of Pinus halepensis Miller in a semi-arid area in Albacete province (southeastern Spain). Ecoscience 4: 86-90."
"Herranz1998","Herranz, J. M., Ferrandis, P., Martínez-Sánchez, J. J. (1998). Influence of heat on seed germination of seven Mediterranean Leguminosae species. Plant Ecology 136: 95-103."
"Herranz1999","Herranz, J. M., Ferrandis, P., Martínez-Sánchez, J. J. (1999). Influence of heat on seed germination of nine woody Cistaceae species. International Journal of Wildland Fire 9: 173-182."
"Herranz2010","Herranz, J.M., Ferrandis, P., Martínez-Duro, E. (2010). Seed germination ecology of the threatened endemic Iberian Delphinium fissum subsp. sordidum (Ranunculaceae). Plant Ecology 211: 89-106."
"Herranz2013a","Herranz, J.M., Copete, M.A., Ferrandis, P. (2013). Environmental regulation of embryo growth, dormancy breaking and germination in Narcissus alcaracensis (Amaryllidaceae), a threatened endemic Iberian daffodil. The American Midland Naturalist 169: 147-167."
"Herranz2013b","Herranz, J.M., Copete, E., Ferrandis, P. (2013). Non-deep complex morphophysiological dormancy in Narcissus longispathus (Amaryllidaceae): implications for evolution of dormancy levels within section Pseudonarcissi. Seed Science Research 23: 141–155."
"HerranzSanz2015","Herrranz Sanz, J.M.H., Carreño, E.C., Carreño, M.Á.C., Gotor, P.F. (2015). Germination ecology of the endemic Iberian daffodil Narcissus radinganorum (Amaryllidaceae). Dormancy induction by cold stratification or desiccation in late stages of embryo growth. Forest Systems 24: e-013."
"Herrera1987a","Herrera, J. (1987). Flower and fruit biology in Southern Spanish Mediterranean shrublands. Annals of the Missouri Botanical Garden 74: 69-78."
"Herrera1987b","Herrera, J. (1987). Biología reproductiva de algunas especies del matorral de Doñana. Anales del Jardín Botánico de Madrid 44: 483-497."
"Herrera1987c","Herrera, C. M. (1987). Vertebrate-dispersed plants of the Iberian Peninsula: a study of fruit characteristics. Ecological Monographs 57: 305-331."
"Herrera1997","Herrera, J. (1997). Effects of disturbance on the reproductive potential of Lavandula stoechas, a Mediterranean sclerophyllous shrub. Ecography 20: 88-95."
"Herrero2005","Herrero, C., Bravo, F., San Martin, R. (2005). Efecto del fuego en la germinación de Cistus laurifolius. Page 338 in Sociedad Española de Ciencias Forestales, editor. Proccedings of the IV Congreso Forestal Español. La ciencia forestal: Respuestas para la sostenibilidad. Interrogante Gráfica, Zaragoza, Spain."
"Hodgson2017","Hodgson, J. G., Santini, B. A., Montserrat Marti, G., Royo Pla, F., Jones, G., Bogaard, A., Charles, M., Font, X., Ater, M., Taleb, A., Poschlod, P., Hmimsa, Y., Palmer, C., Wilson, P. J., Band, S. R., Styring, A., Diffey, C., Green, L., Nitsch, E., Stroud, E., Romo-Diez, A., de Torres Espuny, L., Warham, G. (2017). Trade-offs between seed and leaf size (seed–phytomer–leaf theory): functional glue linking regenerative with life history strategies… and taxonomy with ecology?. Annals of Botany 120: 633-652."
"Honrubia1992","Honrubia, M., Torres, P., Díaz, G., Cano, A. (1992). Manual de micorrizar plantas en viveros forestales. ICONA, Madrid."
"Iglesia1998","Iglesia, A., Cascudo, A., Díaz Vizcaino, E. (1998). Preliminary post-fire secondary succesion in shrubland dominated bu Ulex gallii Planchon in inland Galicia (NW Spain). Pages 115-122 in L. Trabaud, editor. Fire management and landscape ecology. International Association of Wildland Fire, Fairfield, Washington, USA."
"INF1994","Data from the 2º Inventario Nacional Forestal - Ministerio de Medio Ambiente (National Forest Inventory) sampled in 1994 and analysed by the compilers (J. G. Pausas and S. Paula)"
"Isik1986","Isik, K. (1986). Altitudinal variation in Pinus brutia Ten.: seed and seedling characteristics. Silvae Genetica 35: 58-67."
"Izhaki1989","Izhaki, I., Safriel, U. N. (1989). Why are there so few exclusively frugivorous birds? Experiments on fruit digestibility. Oikos 54: 23-32."
"Izhaki1992","Izhaki, I., Lahav, H., Neeman, G. (1992). Spatial distribution patterns of Rhus coriaria seedlings after fire in a Mediterranean pine forest. Acta Oecologica 13: 279-289."
"Jacquet2009","Jacquet, K., Prodon, R. (2009). Measuring the postfire resilience of a bird-vegetation system: A 28-year study in a Mediterranean oak woodland. Oecologia 161: 801–811."
"Jenik1994","Jeník, J. (1994). Clonal growth in woody plants: a review. Folia Geobotanica 29: 291-306."
"Juhren1966","Juhren, M. C. (1966). Ecological observations on Cistus in Mediterranean vegetation. Forest Science 12: 415-426."
